user_id,signup_date,signup_month,channel,state,segment,age,gender,plan,activated,last_active_date,months_observed,is_churned,churn_risk_score,days_since_active
SD000001,2024-02-07,2024-02,Facebook Ads,Kano,E-commerce Seller,40,Male,Business Pro,1,2024-02-13,7,1,100,230
SD000002,2024-02-01,2024-02,Facebook Ads,Kano,Individual Sender,32,Male,Starter,0,2024-02-01,8,1,100,242
SD000003,2024-02-27,2024-02,Google Ads,Delta,Individual Sender,50,Male,Starter,1,2024-03-15,7,1,100,199
SD000004,2024-08-09,2024-08,Google Ads,Kano,Individual Sender,35,Male,Starter,1,2024-08-13,1,1,44,48
SD000005,2024-07-11,2024-07,Referral,Imo,E-commerce Seller,52,Male,Business Pro,0,2024-07-11,2,1,84,81
SD000006,2024-02-21,2024-02,Instagram,Lagos,Small Business,21,Female,Starter,1,2024-05-17,7,1,100,136
SD000007,2024-06-11,2024-06,Referral,Kano,Small Business,31,Male,Business Pro,1,2024-09-04,3,0,17,26
SD000008,2024-01-06,2024-01,Instagram,Abuja,Corporate,52,Female,Business Pro,1,2024-02-01,8,1,100,242
SD000009,2024-04-16,2024-04,Referral,Kaduna,E-commerce Seller,31,Male,Starter,1,2024-06-25,5,1,79,97
SD000010,2024-03-13,2024-03,Instagram,Kaduna,Corporate,27,Male,Business Pro,1,2024-04-14,6,1,100,169
SD000011,2024-07-09,2024-07,Facebook Ads,Abuja,E-commerce Seller,36,Male,Starter,1,2024-07-26,2,1,61,66
SD000012,2024-05-28,2024-05,Google Ads,Kano,Corporate,33,Male,Business Pro,0,2024-05-29,4,1,100,124
SD000013,2024-01-07,2024-01,App Store,Abuja,E-commerce Seller,24,Female,Starter,1,2024-04-08,8,1,100,175
SD000014,2024-01-11,2024-01,App Store,Lagos,Individual Sender,55,Female,Starter,0,2024-01-14,8,1,100,260
SD000015,2024-07-31,2024-07,Google Ads,Lagos,Freelancer,54,Male,Starter,0,2024-07-31,2,1,82,61
SD000016,2023-11-21,2023-11,Word of Mouth,Kaduna,Individual Sender,33,Male,Starter,1,2024-06-11,10,1,100,111
SD000017,2024-03-17,2024-03,Facebook Ads,Lagos,Small Business,25,Male,Starter,0,2024-03-17,6,1,100,197
SD000018,2024-07-22,2024-07,Instagram,Kano,E-commerce Seller,49,Female,Business Pro,0,2024-07-22,2,1,79,70
SD000019,2024-07-02,2024-07,Referral,Oyo,Freelancer,26,Male,Starter,0,2024-07-04,3,1,100,88
SD000020,2024-05-15,2024-05,Instagram,Abuja,Individual Sender,55,Male,Starter,1,2024-06-17,4,1,100,105
SD000021,2024-03-28,2024-03,App Store,Kaduna,E-commerce Seller,53,Male,Business Pro,0,2024-03-28,6,1,100,186
SD000022,2024-04-24,2024-04,Facebook Ads,Rivers,E-commerce Seller,53,Male,Business Pro,1,2024-05-31,5,1,100,122
SD000023,2024-01-21,2024-01,App Store,Rivers,Individual Sender,50,Female,Starter,1,2024-03-03,8,1,100,211
SD000024,2023-12-10,2023-12,Google Ads,Rivers,Small Business,44,Male,Starter,0,2024-05-08,9,1,100,145
SD000025,2023-10-18,2023-10,Facebook Ads,Anambra,Small Business,23,Male,Business Pro,1,2024-03-01,11,1,100,213
SD000026,2024-08-19,2024-08,Word of Mouth,Kaduna,Small Business,22,Male,Starter,1,2024-09-11,1,0,12,19
